No,Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
5486,Bachelor's,Business,"Subnetting, Metasploit, CI/CD, SQL",PMP (Project Management Professional),74,IT Project Manager
5487,Bachelor's,Engineering,"Analytical Thinking, Azure, Firebase, Redis",Interaction Design Foundation,91,UI/UX Designer
5488,Bachelor's,Computer Science,"TensorFlow, CSS",React Native Certification,76,Mobile Developer (iOS / Android)
5489,Bachelor's,Computer Science,"PyTorch, Java",Databricks Associate,86,Data Engineer
5490,Master's,Computer Science,"Subnetting, System Design, AWS, Go",Coursera ML Specialization,86,ML Engineer
5491,Master's,Computer Science,"Data Structures & Algorithms, C#",CISM,71,Cryptographer
5492,Bachelor's,Engineering,"HTTP/HTTPS, OWASP, Firewall, OSI Model",CompTIA Security+,75,SOC Analyst
5493,Matric,Finance,"OSI Model, GitLab, Go, GitHub",AWS Certified Machine Learning,88,Computer Vision Engineer
5494,PhD,Commerce,"Kotlin/Java (Android), Git",Microsoft Azure Developer,74,Backend Developer
5495,PhD,Commerce,"Redis, Terraform",Tableau Desktop Specialist,94,Business Intelligence Analyst
5496,Bachelor's,Engineering,"Kali Linux, Spark, Windows Server",PostgreSQL Associate,69,Database Administrator (DBA)
5497,Master's,Computer Science,MS Office,Digital Marketing,62,Research Scientist
5498,Intermediate,Science,"Load Balancer, VPN",AWS Certified Mobile,89,Mobile Developer (iOS / Android)
5499,PhD,Science,"GraphQL, TensorFlow, Scikit-learn, Rust",Google Professional ML Engineer,95,Research Scientist
5500,Intermediate,Commerce,"Machine Learning, Python, Data Analysis",,63,Research Scientist
5501,Master's,Science,"Data Analysis, Accounting, Financial Analysis",CFA Level 1,76,ML Engineer
5502,Bachelor's,Computer Science,"AWS, Cryptography",CompTIA Security+,94,SOC Analyst
5503,Bachelor's,Computer Science,"Confluence, Ruby, Windows Server",TensorFlow Developer Certificate,66,Computer Vision Engineer
5504,Bachelor's,Computer Science,"Ruby, PyTorch, JavaScript",Microsoft SQL Server Certification,73,Database Administrator (DBA)
5505,PhD,Computer Science,"C++, PHP",IBM Data Science Professional,88,Data Scientist
5506,Bachelor's,Engineering,"Debian, Ansible, MySQL, Kotlin",MySQL Certified,74,Database Administrator (DBA)
5507,Bachelor's,Computer Science,"Microservices, Design Patterns, Hadoop",Tableau Desktop Specialist,90,Business Analyst
5508,Bachelor's,Computer Science,"React, Go, Hadoop",Google Project Management,81,Product Manager
5509,Bachelor's,Computer Science,"Pandas, GraphQL",Google Data Analytics,75,Data Scientist
5510,Master's,Psychology,"Analytical Thinking, React Native, SQLite",Splunk Certified,87,SOC Analyst
5511,PhD,Computer Science,"Analytical Thinking, Data Structures & Algorithms, Jenkins",Interaction Design Foundation,89,UI/UX Designer
5512,Bachelor's,Engineering,"Jetpack Compose, PowerShell, MongoDB, Jenkins",Oracle DBA Certified,91,Database Administrator (DBA)
5513,Bachelor's,Business,"Data Structures & Algorithms, Jira, Analytical Thinking",AIPMM CPM,65,Product Manager
5514,Master's,Computer Science,"Go, Tableau, Technical Writing, REST API",Tableau Desktop Specialist,69,Data Analyst
5515,Bachelor's,Computer Science,"Vue, Confluence",CompTIA Network+,71,IoT Engineer
5516,Intermediate,Science,"C++, C",AWS Certified Developer,68,Full Stack Developer
5517,Intermediate,Commerce,"System Design, OOP",Linux Foundation CKA,92,Site Reliability Engineer (SRE)
5518,PhD,Engineering,"Firewall, SIEM, OWASP",CISM,88,Security Engineer
5519,Bachelor's,Science,"Google Cloud, Burp Suite, DNS",Red Hat RHCSA,90,System Administrator
5520,Master's,Business,"C++, Java",ARM Certified Engineer,71,Firmware Engineer
5521,Bachelor's,Computer Science,"Jenkins, REST API, SQLite, Cassandra",GitHub Certified,61,Software Engineer / Developer
5522,Master's,Business,"Data Structures & Algorithms, REST API, Django, OOP",Interaction Design Foundation,88,UI/UX Designer
5523,Bachelor's,Engineering,"System Design, OOP",Google Cloud Architect,69,Solutions Architect
5524,Bachelor's,Engineering,"Google Cloud, Microservices, Kubernetes",Oracle DBA Certified,95,Database Administrator (DBA)
5525,Bachelor's,Computer Science,"PowerShell, GitLab, Bitbucket, Penetration Testing",AWS DevOps,94,Automation Test Engineer
5526,Bachelor's,Arts,"Technical Writing, Confluence",Meta Full Stack Developer,62,Full Stack Developer
5527,Matric,Business,"Python, Financial Analysis, Machine Learning",Mental Health Basics,82,ML Engineer
5528,Master's,Computer Science,"GitHub Actions, OOP",AWS Certified Machine Learning,92,Machine Learning Engineer
5529,Bachelor's,Computer Science,"Linux (Ubuntu), Jenkins, R, PowerShell",Microsoft Azure Administrator,86,Cloud Engineer
5530,Bachelor's,Psychology,"Metasploit, REST API, Ruby",Splunk Certified,69,SOC Analyst
5531,Matric,Computer Science,"Microservices, Penetration Testing, Flutter, System Design",AWS GameTech,60,Game Developer
5532,Bachelor's,Business,"Counseling, Data Analysis, SQL",Creative Writing,75,Business Analyst
5533,Master's,Computer Science,"Rust, PyTorch, Data Structures & Algorithms, Ansible",DeepLearning.AI Specialization,85,Research Scientist
5534,Matric,Science,"Subnetting, GraphQL",Google IT Support,91,IT Support / Help Desk
5535,Bachelor's,Engineering,"React Native, Kubernetes, CentOS",PostgreSQL Associate,95,Database Administrator (DBA)
5536,Bachelor's,Engineering,"Debian, GitHub",Docker Certified Associate,65,DevOps Engineer
5537,Bachelor's,Computer Science,"Kubernetes, Data Structures & Algorithms, GitHub Actions, Terraform",Google Professional ML Engineer,83,Machine Learning Engineer
5538,Master's,Engineering,"Penetration Testing, Hadoop, TypeScript, TensorFlow",AWS Certified Machine Learning,65,Computer Vision Engineer
5539,Bachelor's,Business,"Jetpack Compose, Pandas, Power BI, GitHub Actions",Microsoft Power BI,91,Business Analyst
5540,Bachelor's,Business,"TypeScript, Agile/Scrum, SQLite",CKA (Kubernetes),92,Platform Engineer
5541,Bachelor's,Engineering,"TCP/IP, MongoDB, GitHub, Jenkins",Oracle DBA Certified,85,Database Administrator (DBA)
5542,Bachelor's,Computer Science,"Agile/Scrum, Analytical Thinking, GitHub Actions, GitLab",Tricentis Tosca,88,QA Engineer / Software Tester
5543,Master's,Computer Science,"Firewall, Git, HTTP/HTTPS",CompTIA Security+,75,Cybersecurity Analyst
5544,Master's,Engineering,"AWS, Java, Next.js",AWS Certified Data Analytics,60,Data Engineer
5545,Bachelor's,Commerce,"Google Cloud, Swift (iOS)",CompTIA PenTest+,86,Penetration Tester (Ethical Hacker)
5546,PhD,Computer Science,"Swift (iOS), Django",TensorFlow Developer Certificate,63,Machine Learning Engineer
5547,Matric,Business,"Communication, Windows Server, PowerShell, MongoDB",Tally ERP,78,Data Entry Operator
5548,PhD,Commerce,"Elasticsearch, Spring Boot",Google Cloud Professional,91,Backend Developer
5549,Bachelor's,Computer Science,"Communication, Confluence, React Native, Load Balancer",AWS Certified SysOps,71,Site Reliability Engineer (SRE)
5550,PhD,Business,"Next.js, Azure, Bitbucket, Bash/Shell Scripting",AWS Solutions Architect,69,Platform Engineer
5551,Bachelor's,Computer Science,"Burp Suite, Problem Solving, GraphQL, Vue",AWS Certified Machine Learning,85,Machine Learning Engineer
5552,Bachelor's,Computer Science,"Data Structures & Algorithms, Analytical Thinking",Google Project Management,87,Product Manager
5553,Master's,Computer Science,"CI/CD, Terraform, Jira, Scikit-learn",Certified Blockchain Developer,88,Blockchain Developer
5554,Master's,Computer Science,"System Design, Spring Boot, OOP, Redis",GitHub Certified,76,Software Engineer
5555,PhD,Science,"Python, Windows Server, MySQL",NVIDIA Deep Learning Institute,90,Research Scientist
5556,Master's,Science,"Wireshark, Confluence, Analytical Thinking, Bash/Shell Scripting",Splunk Certified,80,SOC Analyst
5557,Bachelor's,Engineering,"SQL, Cassandra, GraphQL",Oracle Java Certified,79,Software Engineer
5558,Bachelor's,Business,"Jetpack Compose, Problem Solving, OOP, Elasticsearch",IIBA CBAP,86,Business Analyst
5559,PhD,Computer Science,"Swift, Pandas, Design Patterns, REST API",Google Professional ML Engineer,89,Research Scientist
5560,Bachelor's,Computer Science,"Docker, Flask, Technical Writing",CompTIA Network+,73,Network Engineer
5561,Master's,Engineering,"Vue, PostgreSQL, CSS, Bash/Shell Scripting",Figma Professional,87,Product Designer
5562,PhD,Computer Science,"System Design, Windows Server",NVIDIA Deep Learning Institute,76,AI Research Scientist
5563,Bachelor's,Psychology,"Elasticsearch, Go",TensorFlow Developer Certificate,81,Computer Vision Engineer
5564,Bachelor's,Engineering,"Laravel, Problem Solving",Tableau Desktop Specialist,81,Data Analyst
5565,Bachelor's,Computer Science,"Git, Problem Solving",CompTIA A+,64,IT Support / Help Desk
5566,Bachelor's,Computer Science,"Power BI, Windows Server",TensorFlow Developer Certificate,78,Machine Learning Engineer
5567,Master's,Computer Science,"Jira, R, Swift",ISTQB Foundation,75,QA Engineer / Software Tester
5568,Intermediate,Commerce,"Analytical Thinking, Redis",CompTIA IT Fundamentals,91,Data Entry Operator
5569,Bachelor's,Science,"Kotlin/Java (Android), OOP, Linux (Ubuntu)",CompTIA Linux+,87,Firmware Engineer
5570,Bachelor's,Computer Science,"Kali Linux, GitHub, Data Structures & Algorithms",CompTIA Security+,73,Cryptographer
5571,Master's,Arts,"Design Patterns, Jetpack Compose",Google Data Analytics,72,Business Intelligence Analyst
5572,Bachelor's,Science,"Vue, Kotlin/Java (Android)",eJPT,86,Penetration Tester (Ethical Hacker)
5573,Bachelor's,Computer Science,"Load Balancer, CentOS, Subnetting",AWS Security Specialty,92,Security Engineer
5574,Bachelor's,Computer Science,"Scikit-learn, Analytical Thinking, OOP, Ansible",AWS Solutions Architect,65,IT Consultant
5575,Bachelor's,Engineering,"DNS, PyTorch, Vue, AWS",IBM QRadar,86,SOC Analyst
5576,Bachelor's,Business,"PowerShell, NumPy, Metasploit",AWS Security Specialty,89,Security Engineer
5577,Intermediate,Business,"Scikit-learn, SQL, Power BI, Technical Writing",Google Data Analytics,80,Data Analyst
5578,Bachelor's,Arts,"DNS, VPN, C, Go",AWS Certified SysOps,60,Site Reliability Engineer (SRE)
5579,PhD,Science,"Spring Boot, TCP/IP",Interaction Design Foundation,61,UI/UX Designer
5580,Master's,Computer Science,"Vue, TypeScript, Jetpack Compose",Databricks ML Associate,65,Machine Learning Engineer
5581,Bachelor's,Computer Science,"Wireshark, PowerShell",Meta Front-End Developer,64,Frontend Developer
5582,Matric,Commerce,Python,Creative Writing,64,Software Engineer
5583,Bachelor's,Computer Science,"Technical Writing, TCP/IP, Ansible, Problem Solving",AWS Certified Developer,93,Frontend Developer
5584,Bachelor's,Computer Science,"Python, Bitbucket, Analytical Thinking",AWS DevOps,90,Automation Test Engineer
5585,Master's,Business,"GitHub Actions, System Design, Analytical Thinking",AWS Solutions Architect,84,IT Consultant
5586,Bachelor's,Engineering,"System Design, C++, Pandas, GitHub Actions",Meta Full Stack Developer,62,Full Stack Developer
5587,Master's,Business,"Node.js, Technical Writing, Communication, CentOS",PMI-ACP,64,Scrum Master / Agile Coach
5588,Bachelor's,Computer Science,"React, PowerShell",CISSP,79,Cybersecurity Analyst
5589,Intermediate,Computer Science,"Ansible, OWASP, Cassandra, HTTP/HTTPS",HashiCorp Terraform,91,Cloud Engineer
5590,Intermediate,Science,"Rust, Agile/Scrum, Elasticsearch, Docker",Tricentis Tosca,80,Automation Test Engineer
5591,Bachelor's,Engineering,"Flask, GitHub",Oracle Java Certified,79,Software Engineer
5592,PhD,Computer Science,"Power BI, Google Cloud, Kotlin",Coursera ML Specialization,79,ML Engineer
5593,Master's,Computer Science,"React Native, GraphQL, Hadoop, Debian",Databricks ML Associate,77,Machine Learning Engineer
5594,Bachelor's,Computer Science,"Cassandra, Hadoop",AWS Certified Data Analytics,73,Data Engineer
5595,Master's,Arts,"Design Patterns, Azure, C++",TOGAF,84,IT Consultant
5596,Bachelor's,Engineering,"REST API, PowerShell, OWASP",Google Associate Cloud Engineer,95,Software Engineer
5597,Bachelor's,Engineering,"Microservices, Jira, Git",Oracle Java Certified,95,Software Engineer / Developer
5598,Master's,Business,"Terraform, Azure, CI/CD, Confluence",PMP (Project Management Professional),75,IT Project Manager
5599,Bachelor's,Computer Science,"Cryptography, Wireshark, GitLab, Technical Writing",freeCodeCamp Certification,77,Frontend Developer
5600,Master's,Science,"Git, Swift",Tricentis Tosca,82,QA Engineer / Software Tester
5601,Bachelor's,Engineering,"SQL, Pandas, MongoDB, C#",Oracle Java Certified,74,Software Engineer / Developer
5602,Intermediate,Science,"MongoDB, TypeScript",Microsoft Azure Developer,69,Full Stack Developer
5603,Matric,Science,"Bitbucket, DNS",Microsoft MTA,89,IT Support / Help Desk
5604,Bachelor's,Science,"Linux (Ubuntu), Swift",Linux Foundation CKA,95,Site Reliability Engineer (SRE)
5605,Master's,Commerce,"Burp Suite, Google Cloud, Firebase",Cisco CCNA,87,Infrastructure Engineer
5606,Bachelor's,Computer Science,"C, PyTorch, Firewall",CompTIA Network+,76,Network Engineer
5607,Bachelor's,Science,Python,CFA Level 1,92,Software Engineer
5608,Bachelor's,Computer Science,"Azure, Notion, Jira",AWS Certified Developer,84,Frontend Developer
5609,Master's,Business,"Communication, Jira, PyTorch, GitLab",CompTIA Project+,81,IT Project Manager
5610,Bachelor's,Computer Science,"Problem Solving, Windows Server, Angular",AWS Certified SysOps,80,Site Reliability Engineer (SRE)
5611,Intermediate,Computer Science,"Metasploit, Design Patterns, Wireshark",AWS Solutions Architect,94,Enterprise Architect
5612,Bachelor's,Computer Science,"Bash/Shell Scripting, Design Patterns, MySQL, Laravel",IIBA CBAP,89,Business Analyst
5613,PhD,Engineering,"C#, Spark, Swift, PowerShell",Google Data Analytics,61,Data Analyst
5614,Bachelor's,Computer Science,"Penetration Testing, CentOS",GCIA (GIAC),74,SOC Analyst
5615,Bachelor's,Business,"Firebase, AWS, CI/CD, Kubernetes",CompTIA Linux+,90,System Administrator
5616,PhD,Computer Science,"MS Office, Accounting",Google Data Analytics,72,Software Engineer
5617,Master's,Science,"Agile/Scrum, GitHub, Django, Jenkins",ICAgile,60,Scrum Master / Agile Coach
5618,Bachelor's,Business,"REST API, Docker, Bitbucket, GitHub",AIPMM CPM,73,Product Manager
5619,Master's,Computer Science,"GraphQL, DNS",Google Data Analytics,95,Data Scientist
5620,PhD,Engineering,"Python, Scala, CI/CD",Microsoft Azure Developer,61,Full Stack Developer
5621,Intermediate,Computer Science,"CI/CD, Git",PMI-ACP,68,Scrum Master / Agile Coach
5622,Intermediate,Engineering,"Ruby, SQL, Debian, Python",DeepLearning.AI NLP Specialization,92,NLP Engineer
5623,Bachelor's,Computer Science,"Terraform, CentOS",Microsoft SQL Server Certification,83,Database Administrator (DBA)
5624,PhD,Computer Science,"Tableau, R",AWS Certified Machine Learning,75,ML Engineer
5625,Master's,Engineering,"MS Office, Python, Financial Analysis",,74,Research Scientist
5626,Master's,Science,"Analytical Thinking, Jetpack Compose, Agile/Scrum, Redis",Microsoft Power BI,61,Data Analyst
5627,Master's,Computer Science,"Problem Solving, PyTorch, VPN",CompTIA Linux+,92,System Administrator
5628,Master's,Business,"Git, Analytical Thinking, GitLab, SQL",PRINCE2,63,IT Project Manager
5629,Master's,Engineering,"Data Structures & Algorithms, Technical Writing",Selenium Certification,62,QA Engineer / Software Tester
5630,Bachelor's,Business,"OOP, Google Cloud",CompTIA Project+,62,IT Project Manager
5631,Bachelor's,Computer Science,"REST API, GitHub, Power BI",Oracle DBA Certified,87,Database Administrator (DBA)
5632,Bachelor's,Computer Science,"Docker, CentOS",CompTIA Network+,94,Network Engineer
5633,PhD,Finance,"Redis, TCP/IP, Load Balancer, SQLite",AWS Solutions Architect Professional,75,Solutions Architect
5634,Bachelor's,Engineering,"Counseling, MS Office",Creative Writing,72,Software Engineer
5635,Matric,Computer Science,"MS Office, Accounting, Data Analysis",CFA Level 1,93,Business Analyst
5636,Bachelor's,Computer Science,"Kotlin/Java (Android), DNS",CompTIA Security+,63,Cybersecurity Analyst
5637,Master's,Computer Science,"Problem Solving, Bitbucket, Communication",Figma Professional,91,UI/UX Designer
5638,Master's,Computer Science,"Spring Boot, REST API, Go, Flask",Coursera ML Specialization,92,ML Engineer
5639,Bachelor's,Computer Science,"Cassandra, SQL, OOP",AWS DevOps,65,Automation Test Engineer
5640,Bachelor's,Computer Science,"Agile/Scrum, Bash/Shell Scripting",PostgreSQL Associate,63,Database Administrator (DBA)
5641,Master's,Computer Science,"REST API, R, OWASP",Google Data Analytics,77,Data Scientist
5642,Master's,Engineering,"Express, Scikit-learn, C#",Google Professional Data Engineer,79,Data Engineer
5643,Intermediate,Commerce,"Python, Counseling",Google Data Analytics,75,Research Scientist
5644,Intermediate,Computer Science,"Bash/Shell Scripting, CentOS, Swift, Bitbucket",ARM Certified Engineer,85,Embedded Systems Engineer
5645,Master's,Engineering,"Python, Financial Analysis, Communication",AWS Certified,77,Data Entry Operator
